Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,Maryland,24,2011,2011,15-19 years,15-19,53,4797,11.05
,Maryland,24,2011,2011,20-24 years,20-24,112,14143,7.92
,Maryland,24,2011,2011,25-29 years,25-29,122,20139,6.06
,Maryland,24,2011,2011,30-34 years,30-34,106,20463,5.18
,Maryland,24,2011,2011,35-39 years,35-39,84,10632,7.9
,Maryland,24,2011,2011,40-44 years,40-44,16,2641,6.06
,Maryland,24,2012,2012,15-19 years,15-19,44,4286,10.27
,Maryland,24,2012,2012,20-24 years,20-24,87,13639,6.38
,Maryland,24,2012,2012,25-29 years,25-29,127,20109,6.32
,Maryland,24,2012,2012,30-34 years,30-34,110,21198,5.19
,Maryland,24,2012,2012,35-39 years,35-39,68,10806,6.29
,Maryland,24,2012,2012,40-44 years,40-44,23,2592,8.87
,Maryland,24,2013,2013,15-19 years,15-19,35,3690,9.49
,Maryland,24,2013,2013,20-24 years,20-24,116,13193,8.79
,Maryland,24,2013,2013,25-29 years,25-29,122,20052,6.08
,Maryland,24,2013,2013,30-34 years,30-34,103,21454,4.8
,Maryland,24,2013,2013,35-39 years,35-39,80,10716,7.47
,Maryland,24,2013,2013,40-44 years,40-44,18,2584,6.97
,Maryland,24,2014,2014,15-19 years,15-19,38,3379,11.25
,Maryland,24,2014,2014,20-24 years,20-24,98,12917,7.59
,Maryland,24,2014,2014,25-29 years,25-29,128,20212,6.33
,Maryland,24,2014,2014,30-34 years,30-34,108,22804,4.74
,Maryland,24,2014,2014,35-39 years,35-39,88,11724,7.51
,Maryland,24,2014,2014,40-44 years,40-44,15,2587,5.8
,Massachusetts,25,2007,2007,15-19 years,15-19,37,4949,7.48
,Massachusetts,25,2007,2007,20-24 years,20-24,75,12605,5.95
,Massachusetts,25,2007,2007,25-29 years,25-29,99,19292,5.13
,Massachusetts,25,2007,2007,30-34 years,30-34,87,23341,3.73
,Massachusetts,25,2007,2007,35-39 years,35-39,66,14340,4.6
,Massachusetts,25,2007,2007,40-44 years,40-44,19,3155,6.02
,Massachusetts,25,2008,2008,15-19 years,15-19,28,4586,6.11
,Massachusetts,25,2008,2008,20-24 years,20-24,91,12485,7.29
,Massachusetts,25,2008,2008,25-29 years,25-29,91,19040,4.78
,Massachusetts,25,2008,2008,30-34 years,30-34,89,23170,3.84
,Massachusetts,25,2008,2008,35-39 years,35-39,71,14173,5.01
,Massachusetts,25,2008,2008,40-44 years,40-44,16,3287,4.87
,Massachusetts,25,2009,2009,15-19 years,15-19,32,4482,7.14
,Massachusetts,25,2009,2009,20-24 years,20-24,87,12060,7.21
,Massachusetts,25,2009,2009,25-29 years,25-29,91,18487,4.92
,Massachusetts,25,2009,2009,30-34 years,30-34,94,23155,4.06
,Massachusetts,25,2009,2009,35-39 years,35-39,48,13518,3.55
,Massachusetts,25,2009,2009,40-44 years,40-44,28,3048,9.19
,Massachusetts,25,2010,2010,15-19 years,15-19,36,3909,9.21
,Massachusetts,25,2010,2010,20-24 years,20-24,58,11303,5.13
,Massachusetts,25,2010,2010,25-29 years,25-29,71,18048,3.93
,Massachusetts,25,2010,2010,30-34 years,30-34,77,23173,3.32
,Massachusetts,25,2010,2010,35-39 years,35-39,56,13033,4.3
,Massachusetts,25,2010,2010,40-44 years,40-44,19,3154,6.02
,Massachusetts,25,2011,2011,15-19 years,15-19,30,3478,8.63
,Massachusetts,25,2011,2011,20-24 years,20-24,59,11141,5.3
,Massachusetts,25,2011,2011,25-29 years,25-29,78,18242,4.28
,Massachusetts,25,2011,2011,30-34 years,30-34,64,24019,2.66
,Massachusetts,25,2011,2011,35-39 years,35-39,56,12947,4.33
,Massachusetts,25,2011,2011,40-44 years,40-44,22,3082,7.14
,Massachusetts,25,2012,2012,15-19 years,15-19,33,3220,10.25
,Massachusetts,25,2012,2012,20-24 years,20-24,48,10871,4.42
,Massachusetts,25,2012,2012,25-29 years,25-29,75,17948,4.18
,Massachusetts,25,2012,2012,30-34 years,30-34,90,24022,3.75
,Massachusetts,25,2012,2012,35-39 years,35-39,51,13104,3.89
,Massachusetts,25,2013,2013,15-19 years,15-19,14,2734,5.12
,Massachusetts,25,2013,2013,20-24 years,20-24,48,9952,4.82
,Massachusetts,25,2013,2013,25-29 years,25-29,80,17627,4.54
,Massachusetts,25,2013,2013,30-34 years,30-34,84,24855,3.38
,Massachusetts,25,2013,2013,35-39 years,35-39,52,13320,3.9
,Massachusetts,25,2013,2013,40-44 years,40-44,16,3023,5.29
,Massachusetts,25,2014,2014,15-19 years,15-19,14,2404,5.82
,Massachusetts,25,2014,2014,20-24 years,20-24,59,9616,6.14
,Massachusetts,25,2014,2014,25-29 years,25-29,93,17839,5.21
,Massachusetts,25,2014,2014,30-34 years,30-34,91,25260,3.6
,Massachusetts,25,2014,2014,35-39 years,35-39,37,13523,2.74
,Massachusetts,25,2014,2014,40-44 years,40-44,17,2997,5.67
,Michigan,26,2007,2007,15-19 years,15-19,143,12497,11.44
,Michigan,26,2007,2007,20-24 years,20-24,271,30225,8.97
,Michigan,26,2007,2007,25-29 years,25-29,281,36844,7.63
,Michigan,26,2007,2007,30-34 years,30-34,190,28788,6.6
,Michigan,26,2007,2007,35-39 years,35-39,83,13845,5.99
,Michigan,26,2007,2007,40-44 years,40-44,22,2703,8.14
,Michigan,26,2008,2008,15-19 years,15-19,147,11985,12.27
,Michigan,26,2008,2008,20-24 years,20-24,223,29306,7.61
,Michigan,26,2008,2008,25-29 years,25-29,224,35833,6.25
,Michigan,26,2008,2008,30-34 years,30-34,176,27856,6.32
,Michigan,26,2008,2008,35-39 years,35-39,95,13101,7.25
,Michigan,26,2008,2008,40-44 years,40-44,25,2712,9.22
,Michigan,26,2009,2009,15-19 years,15-19,117,11709,9.99
,Michigan,26,2009,2009,20-24 years,20-24,255,28447,8.96
,Michigan,26,2009,2009,25-29 years,25-29,235,34524,6.81
,Michigan,26,2009,2009,30-34 years,30-34,167,27557,6.06
,Michigan,26,2009,2009,35-39 years,35-39,85,12142,7
,Michigan,26,2009,2009,40-44 years,40-44,29,2625,11.05
,Michigan,26,2010,2010,15-19 years,15-19,114,10835,10.52
,Michigan,26,2010,2010,20-24 years,20-24,226,27787,8.13
,Michigan,26,2010,2010,25-29 years,25-29,234,33629,6.96
,Michigan,26,2010,2010,30-34 years,30-34,155,27463,5.64
,Michigan,26,2010,2010,35-39 years,35-39,67,11902,5.63
,Michigan,26,2010,2010,40-44 years,40-44,17,2606,6.52
,Michigan,26,2011,2011,15-19 years,15-19,96,9658,9.94
,Michigan,26,2011,2011,20-24 years,20-24,219,27893,7.85
,Michigan,26,2011,2011,25-29 years,25-29,197,33665,5.85
,Michigan,26,2011,2011,30-34 years,30-34,147,28133,5.23
,Michigan,26,2011,2011,35-39 years,35-39,62,11687,5.31
,Michigan,26,2011,2011,40-44 years,40-44,20,2708,7.39
,Michigan,26,2012,2012,15-19 years,15-19,94,8913,10.55
,Michigan,26,2012,2012,20-24 years,20-24,234,27690,8.45
,Michigan,26,2012,2012,25-29 years,25-29,188,33423,5.62
,Michigan,26,2012,2012,30-34 years,30-34,165,28511,5.79
,Michigan,26,2012,2012,35-39 years,35-39,77,11666,6.6
,Michigan,26,2012,2012,40-44 years,40-44,23,2606,8.83
,Michigan,26,2013,2013,15-19 years,15-19,82,7872,10.42
,Michigan,26,2013,2013,20-24 years,20-24,225,27628,8.14
,Michigan,26,2013,2013,25-29 years,25-29,217,33800,6.42
,Michigan,26,2013,2013,30-34 years,30-34,168,29249,5.74
,Michigan,26,2013,2013,35-39 years,35-39,72,12064,5.97
,Michigan,26,2013,2013,40-44 years,40-44,32,2613,12.25
,Michigan,26,2014,2014,15-19 years,15-19,89,6967,12.77
,Michigan,26,2014,2014,20-24 years,20-24,204,27144,7.52
,Michigan,26,2014,2014,25-29 years,25-29,206,34859,5.91
,Michigan,26,2014,2014,30-34 years,30-34,150,30143,4.98
,Michigan,26,2014,2014,35-39 years,35-39,63,12446,5.06
,Michigan,26,2014,2014,40-44 years,40-44,23,2564,8.97
,Minnesota,27,2007,2007,15-19 years,15-19,55,5193,10.59
,Minnesota,27,2007,2007,20-24 years,20-24,97,15574,6.23
,Minnesota,27,2007,2007,25-29 years,25-29,113,23504,4.81
,Minnesota,27,2007,2007,30-34 years,30-34,78,18682,4.18
,Minnesota,27,2007,2007,35-39 years,35-39,52,8847,5.88
,Minnesota,27,2007,2007,40-44 years,40-44,12,1744,6.88
,Minnesota,27,2008,2008,15-19 years,15-19,47,4885,9.62
,Minnesota,27,2008,2008,20-24 years,20-24,116,14886,7.79
,Minnesota,27,2008,2008,25-29 years,25-29,117,23312,5.02
,Minnesota,27,2008,2008,30-34 years,30-34,86,18827,4.57
,Minnesota,27,2008,2008,35-39 years,35-39,48,8591,5.59
,Minnesota,27,2008,2008,40-44 years,40-44,13,1704,7.63
,Minnesota,27,2009,2009,15-19 years,15-19,43,4384,9.81
,Minnesota,27,2009,2009,20-24 years,20-24,94,14125,6.65
,Minnesota,27,2009,2009,25-29 years,25-29,73,22972,3.18
,Minnesota,27,2009,2009,30-34 years,30-34,68,18946,3.59
,Minnesota,27,2009,2009,35-39 years,35-39,30,8248,3.64
,Minnesota,27,2009,2009,40-44 years,40-44,14,1803,7.76
,Minnesota,27,2010,2010,15-19 years,15-19,29,4035,7.19
,Minnesota,27,2010,2010,20-24 years,20-24,70,12830,5.46
,Minnesota,27,2010,2010,25-29 years,25-29,85,22390,3.8
,Minnesota,27,2010,2010,30-34 years,30-34,82,19350,4.24
,Minnesota,27,2010,2010,35-39 years,35-39,36,8058,4.47
,Minnesota,27,2011,2011,15-19 years,15-19,22,3464,6.35
,Minnesota,27,2011,2011,20-24 years,20-24,77,12230,6.3
,Minnesota,27,2011,2011,25-29 years,25-29,98,22235,4.41
,Minnesota,27,2011,2011,30-34 years,30-34,85,20350,4.18
,Minnesota,27,2011,2011,35-39 years,35-39,20,8166,2.45
,Minnesota,27,2011,2011,40-44 years,40-44,19,1782,10.66
,Minnesota,27,2012,2012,15-19 years,15-19,34,3295,10.32
,Minnesota,27,2012,2012,20-24 years,20-24,70,12218,5.73
,Minnesota,27,2012,2012,25-29 years,25-29,91,21858,4.16
,Minnesota,27,2012,2012,30-34 years,30-34,98,21207,4.62
,Minnesota,27,2012,2012,35-39 years,35-39,39,8213,4.75
,Minnesota,27,2012,2012,40-44 years,40-44,11,1798,6.12
,Minnesota,27,2013,2013,15-19 years,15-19,24,2950,8.14
,Minnesota,27,2013,2013,20-24 years,20-24,86,11745,7.32
,Minnesota,27,2013,2013,25-29 years,25-29,104,21913,4.75
,Minnesota,27,2013,2013,30-34 years,30-34,81,22003,3.68
,Minnesota,27,2013,2013,35-39 years,35-39,47,8695,5.41
,Minnesota,27,2013,2013,40-44 years,40-44,10,1688,5.92
,Minnesota,27,2014,2014,15-19 years,15-19,30,2709,11.07
,Minnesota,27,2014,2014,20-24 years,20-24,66,11466,5.76
,Minnesota,27,2014,2014,25-29 years,25-29,97,21759,4.46
,Minnesota,27,2014,2014,30-34 years,30-34,84,22933,3.66
,Minnesota,27,2014,2014,35-39 years,35-39,52,9165,5.67
,Minnesota,27,2014,2014,40-44 years,40-44,17,1688,10.07
,Mississippi,28,2007,2007,15-19 years,15-19,90,7811,11.52
,Mississippi,28,2007,2007,20-24 years,20-24,162,15535,10.43
,Mississippi,28,2007,2007,25-29 years,25-29,110,12718,8.65
,Mississippi,28,2007,2007,30-34 years,30-34,53,6779,7.82
,Mississippi,28,2007,2007,35-39 years,35-39,38,2904,13.09
,Mississippi,28,2008,2008,15-19 years,15-19,77,7193,10.7
,Mississippi,28,2008,2008,20-24 years,20-24,178,14958,11.9
,Mississippi,28,2008,2008,25-29 years,25-29,97,12511,7.75
,Mississippi,28,2008,2008,30-34 years,30-34,56,6758,8.29
,Mississippi,28,2008,2008,35-39 years,35-39,26,2813,9.24
,Mississippi,28,2008,2008,40-44 years,40-44,10,548,18.25
,Mississippi,28,2009,2009,15-19 years,15-19,68,6945,9.79
,Mississippi,28,2009,2009,20-24 years,20-24,155,14052,11.03
,Mississippi,28,2009,2009,25-29 years,25-29,126,11797,10.68
,Mississippi,28,2009,2009,30-34 years,30-34,42,6737,6.23
,Mississippi,28,2009,2009,35-39 years,35-39,32,2682,11.93
,Mississippi,28,2010,2010,15-19 years,15-19,82,6077,13.49
,Mississippi,28,2010,2010,20-24 years,20-24,131,12859,10.19
,Mississippi,28,2010,2010,25-29 years,25-29,95,11395,8.34
,Mississippi,28,2010,2010,30-34 years,30-34,51,6525,7.82
,Mississippi,28,2010,2010,35-39 years,35-39,18,2526,7.13
,Mississippi,28,2011,2011,15-19 years,15-19,81,5363,15.1
,Mississippi,28,2011,2011,20-24 years,20-24,115,13119,8.77
,Mississippi,28,2011,2011,25-29 years,25-29,90,11411,7.89
,Mississippi,28,2011,2011,30-34 years,30-34,51,6857,7.44
,Mississippi,28,2011,2011,35-39 years,35-39,25,2467,10.13
,Mississippi,28,2012,2012,15-19 years,15-19,50,4781,10.46
,Mississippi,28,2012,2012,20-24 years,20-24,126,12656,9.96
,Mississippi,28,2012,2012,25-29 years,25-29,79,10960,7.21
,Mississippi,28,2012,2012,30-34 years,30-34,53,7011,7.56
,Mississippi,28,2012,2012,35-39 years,35-39,27,2597,10.4
,Mississippi,28,2013,2013,15-19 years,15-19,49,4347,11.27
,Mississippi,28,2013,2013,20-24 years,20-24,129,12483,10.33
,Mississippi,28,2013,2013,25-29 years,25-29,108,11283,9.57
,Mississippi,28,2013,2013,30-34 years,30-34,52,7287,7.14
,Mississippi,28,2013,2013,35-39 years,35-39,24,2594,9.25
,Mississippi,28,2014,2014,15-19 years,15-19,36,3853,9.34
,Mississippi,28,2014,2014,20-24 years,20-24,111,12613,8.8
,Mississippi,28,2014,2014,25-29 years,25-29,83,11419,7.27
,Mississippi,28,2014,2014,30-34 years,30-34,45,7483,6.01
,Mississippi,28,2014,2014,35-39 years,35-39,26,2751,9.45
,Missouri,29,2007,2007,15-19 years,15-19,78,9244,8.44
,Missouri,29,2007,2007,20-24 years,20-24,187,23517,7.95
,Missouri,29,2007,2007,25-29 years,25-29,164,24614,6.66
,Missouri,29,2007,2007,30-34 years,30-34,117,15964,7.33
,Missouri,29,2007,2007,35-39 years,35-39,44,7055,6.24
,Missouri,29,2007,2007,40-44 years,40-44,16,1345,11.9
,Missouri,29,2008,2008,15-19 years,15-19,83,9160,9.06
,Missouri,29,2008,2008,20-24 years,20-24,186,22696,8.2
,Missouri,29,2008,2008,25-29 years,25-29,158,24536,6.44
,Missouri,29,2008,2008,30-34 years,30-34,86,16066,5.35
,Missouri,29,2008,2008,35-39 years,35-39,52,6958,7.47
,Missouri,29,2008,2008,40-44 years,40-44,11,1373,8.01
,Missouri,29,2009,2009,15-19 years,15-19,94,8499,11.06
,Missouri,29,2009,2009,20-24 years,20-24,182,21955,8.29
,Missouri,29,2009,2009,25-29 years,25-29,137,23813,5.75
,Missouri,29,2009,2009,30-34 years,30-34,81,16355,4.95
,Missouri,29,2009,2009,35-39 years,35-39,52,6833,7.61
,Missouri,29,2009,2009,40-44 years,40-44,12,1299,9.24
,Missouri,29,2010,2010,15-19 years,15-19,77,7669,10.04
,Missouri,29,2010,2010,20-24 years,20-24,152,20568,7.39
,Missouri,29,2010,2010,25-29 years,25-29,137,23562,5.81
,Missouri,29,2010,2010,30-34 years,30-34,78,16775,4.65
,Missouri,29,2010,2010,35-39 years,35-39,45,6652,6.76
,Missouri,29,2010,2010,40-44 years,40-44,13,1375,9.45
,Missouri,29,2011,2011,15-19 years,15-19,60,6944,8.64
,Missouri,29,2011,2011,20-24 years,20-24,177,20199,8.76
,Missouri,29,2011,2011,25-29 years,25-29,126,23250,5.42
,Missouri,29,2011,2011,30-34 years,30-34,74,17521,4.22
,Missouri,29,2011,2011,35-39 years,35-39,34,6670,5.1
,Missouri,29,2012,2012,15-19 years,15-19,56,6317,8.86
,Missouri,29,2012,2012,20-24 years,20-24,154,19890,7.74
,Missouri,29,2012,2012,25-29 years,25-29,132,23045,5.73
,Missouri,29,2012,2012,30-34 years,30-34,99,17909,5.53
,Missouri,29,2012,2012,35-39 years,35-39,43,6700,6.42
,Missouri,29,2012,2012,40-44 years,40-44,11,1440,7.64
,Missouri,29,2013,2013,15-19 years,15-19,50,5814,8.6
,Missouri,29,2013,2013,20-24 years,20-24,158,19430,8.13
,Missouri,29,2013,2013,25-29 years,25-29,125,23193,5.39
,Missouri,29,2013,2013,30-34 years,30-34,109,18450,5.91
,Missouri,29,2013,2013,35-39 years,35-39,38,6953,5.47
,Missouri,29,2014,2014,15-19 years,15-19,48,5232,9.17
,Missouri,29,2014,2014,20-24 years,20-24,152,19041,7.98
,Missouri,29,2014,2014,25-29 years,25-29,123,23218,5.3
,Missouri,29,2014,2014,30-34 years,30-34,85,19125,4.44
,Missouri,29,2014,2014,35-39 years,35-39,40,7206,5.55
,Missouri,29,2014,2014,40-44 years,40-44,10,1401,7.14
,Montana,30,2007,2007,20-24 years,20-24,24,3488,6.88
,Montana,30,2007,2007,25-29 years,25-29,18,3757,4.79
,Montana,30,2007,2007,30-34 years,30-34,16,2555,6.26
,Montana,30,2007,2007,35-39 years,35-39,10,1172,8.53
,Montana,30,2008,2008,15-19 years,15-19,12,1312,9.15
,Montana,30,2008,2008,20-24 years,20-24,19,3460,5.49
,Montana,30,2008,2008,25-29 years,25-29,30,3883,7.73
,Montana,30,2008,2008,30-34 years,30-34,16,2606,6.14
,Montana,30,2008,2008,35-39 years,35-39,12,1082,11.09
,Montana,30,2009,2009,15-19 years,15-19,14,1264,11.08
,Montana,30,2009,2009,20-24 years,20-24,18,3305,5.45
,Montana,30,2009,2009,25-29 years,25-29,23,3764,6.11
,Montana,30,2009,2009,30-34 years,30-34,16,2618,6.11
,Montana,30,2010,2010,20-24 years,20-24,20,3137,6.38
,Montana,30,2010,2010,25-29 years,25-29,16,3622,4.42
,Montana,30,2010,2010,30-34 years,30-34,17,2778,6.12
,Montana,30,2011,2011,20-24 years,20-24,24,3210,7.48
,Montana,30,2011,2011,25-29 years,25-29,18,3744,4.81
,Montana,30,2011,2011,30-34 years,30-34,11,2853,3.86
,Montana,30,2011,2011,35-39 years,35-39,14,1066,13.13
,Montana,30,2012,2012,15-19 years,15-19,11,892,12.33
,Montana,30,2012,2012,20-24 years,20-24,15,3081,4.87
,Montana,30,2012,2012,25-29 years,25-29,17,3752,4.53
,Montana,30,2012,2012,30-34 years,30-34,19,2940,6.46
,Montana,30,2013,2013,15-19 years,15-19,10,855,11.7
,Montana,30,2013,2013,20-24 years,20-24,27,3168,8.52
,Montana,30,2013,2013,25-29 years,25-29,12,3890,3.08
,Montana,30,2013,2013,30-34 years,30-34,15,2993,5.01
,Montana,30,2014,2014,20-24 years,20-24,18,2928,6.15
,Montana,30,2014,2014,25-29 years,25-29,27,3914,6.9
,Montana,30,2014,2014,30-34 years,30-34,11,3237,3.4
,Nebraska,31,2007,2007,15-19 years,15-19,23,2280,10.09
,Nebraska,31,2007,2007,20-24 years,20-24,49,6916,7.09
,Nebraska,31,2007,2007,25-29 years,25-29,58,8653,6.7
,Nebraska,31,2007,2007,30-34 years,30-34,32,5982,5.35
,Nebraska,31,2007,2007,35-39 years,35-39,15,2588,5.8
,Nebraska,31,2008,2008,15-19 years,15-19,16,2286,7
,Nebraska,31,2008,2008,20-24 years,20-24,47,6653,7.06
,Nebraska,31,2008,2008,25-29 years,25-29,39,8868,4.4
,Nebraska,31,2008,2008,30-34 years,30-34,27,6104,4.42
,Nebraska,31,2008,2008,35-39 years,35-39,13,2480,5.24
,Nebraska,31,2009,2009,15-19 years,15-19,18,2209,8.15
,Nebraska,31,2009,2009,20-24 years,20-24,39,6452,6.04
,Nebraska,31,2009,2009,25-29 years,25-29,51,8827,5.78
,Nebraska,31,2009,2009,30-34 years,30-34,21,6349,3.31
,Nebraska,31,2009,2009,35-39 years,35-39,11,2561,4.3
,Nebraska,31,2010,2010,15-19 years,15-19,16,1958,8.17
,Nebraska,31,2010,2010,20-24 years,20-24,33,6157,5.36
,Nebraska,31,2010,2010,25-29 years,25-29,42,8666,4.85
,Nebraska,31,2010,2010,30-34 years,30-34,30,6167,4.86
,Nebraska,31,2011,2011,15-19 years,15-19,16,1731,9.24
,Nebraska,31,2011,2011,20-24 years,20-24,30,5801,5.17
,Nebraska,31,2011,2011,25-29 years,25-29,40,8592,4.66
,Nebraska,31,2011,2011,30-34 years,30-34,35,6595,5.31
,Nebraska,31,2011,2011,35-39 years,35-39,15,2459,6.1
,Nebraska,31,2012,2012,15-19 years,15-19,12,1671,7.18
,Nebraska,31,2012,2012,20-24 years,20-24,26,5676,4.58
,Nebraska,31,2012,2012,25-29 years,25-29,40,8510,4.7
,Nebraska,31,2012,2012,30-34 years,30-34,25,6941,3.6
,Nebraska,31,2013,2013,15-19 years,15-19,11,1552,7.09
,Nebraska,31,2013,2013,20-24 years,20-24,30,5647,5.31
,Nebraska,31,2013,2013,25-29 years,25-29,45,8631,5.21
,Nebraska,31,2013,2013,30-34 years,30-34,24,7030,3.41
,Nebraska,31,2013,2013,35-39 years,35-39,24,2672,8.98
,Nebraska,31,2014,2014,20-24 years,20-24,30,5571,5.39
,Nebraska,31,2014,2014,25-29 years,25-29,44,8679,5.07
,Nebraska,31,2014,2014,30-34 years,30-34,37,7735,4.78
,Nebraska,31,2014,2014,35-39 years,35-39,17,2850,5.96
,Nevada,32,2007,2007,15-19 years,15-19,37,4351,8.5
,Nevada,32,2007,2007,20-24 years,20-24,74,10666,6.94
,Nevada,32,2007,2007,25-29 years,25-29,47,11934,3.94
,Nevada,32,2007,2007,30-34 years,30-34,52,8744,5.95
,Nevada,32,2007,2007,35-39 years,35-39,35,4405,7.95
,Nevada,32,2007,2007,40-44 years,40-44,13,956,13.6
,Nevada,32,2008,2008,15-19 years,15-19,33,4262,7.74
,Nevada,32,2008,2008,20-24 years,20-24,60,9929,6.04
,Nevada,32,2008,2008,25-29 years,25-29,55,11542,4.77
,Nevada,32,2008,2008,30-34 years,30-34,37,8302,4.46
,Nevada,32,2008,2008,35-39 years,35-39,18,4377,4.11
,Nevada,32,2009,2009,15-19 years,15-19,26,3879,6.7
,Nevada,32,2009,2009,20-24 years,20-24,57,9308,6.12
,Nevada,32,2009,2009,25-29 years,25-29,59,10836,5.44
,Nevada,32,2009,2009,30-34 years,30-34,46,8267,5.56
,Nevada,32,2009,2009,35-39 years,35-39,21,4230,4.96
,Nevada,32,2010,2010,15-19 years,15-19,32,3421,9.35
,Nevada,32,2010,2010,20-24 years,20-24,41,8607,4.76
,Nevada,32,2010,2010,25-29 years,25-29,59,10631,5.55
,Nevada,32,2010,2010,30-34 years,30-34,37,8125,4.55
,Nevada,32,2010,2010,35-39 years,35-39,21,4050,5.19
,Nevada,32,2011,2011,15-19 years,15-19,21,3073,6.83
,Nevada,32,2011,2011,20-24 years,20-24,45,8412,5.35
,Nevada,32,2011,2011,25-29 years,25-29,47,10242,4.59
,Nevada,32,2011,2011,30-34 years,30-34,57,8357,6.82
,Nevada,32,2011,2011,35-39 years,35-39,21,4145,5.07
,Nevada,32,2012,2012,15-19 years,15-19,28,2863,9.78
,Nevada,32,2012,2012,20-24 years,20-24,38,8434,4.51
,Nevada,32,2012,2012,25-29 years,25-29,41,10040,4.08
,Nevada,32,2012,2012,30-34 years,30-34,41,8445,4.85
,Nevada,32,2012,2012,35-39 years,35-39,18,4054,4.44
,Nevada,32,2013,2013,15-19 years,15-19,19,2604,7.3
,Nevada,32,2013,2013,20-24 years,20-24,48,8387,5.72
,Nevada,32,2013,2013,25-29 years,25-29,54,10010,5.39
,Nevada,32,2013,2013,30-34 years,30-34,36,8776,4.1
,Nevada,32,2013,2013,35-39 years,35-39,20,4131,4.84
,Nevada,32,2014,2014,15-19 years,15-19,18,2448,7.35
,Nevada,32,2014,2014,20-24 years,20-24,52,8426,6.17
,Nevada,32,2014,2014,25-29 years,25-29,46,10341,4.45
,Nevada,32,2014,2014,30-34 years,30-34,44,9175,4.8
,Nevada,32,2014,2014,35-39 years,35-39,32,4352,7.35
,New Hampshire,33,2007,2007,20-24 years,20-24,23,2825,8.14
,New Hampshire,33,2007,2007,25-29 years,25-29,22,4015,5.48
,New Hampshire,33,2007,2007,30-34 years,30-34,13,3862,3.37
,New Hampshire,33,2008,2008,20-24 years,20-24,13,2782,4.67
,New Hampshire,33,2008,2008,25-29 years,25-29,13,3831,3.39
,New Hampshire,33,2008,2008,30-34 years,30-34,13,3818,3.4
,New Hampshire,33,2009,2009,20-24 years,20-24,15,2742,5.47
,New Hampshire,33,2009,2009,25-29 years,25-29,20,3893,5.14
,New Hampshire,33,2009,2009,30-34 years,30-34,11,3713,2.96
,New Hampshire,33,2009,2009,35-39 years,35-39,11,1855,5.93
,New Hampshire,33,2010,2010,20-24 years,20-24,25,2638,9.48
,New Hampshire,33,2011,2011,20-24 years,20-24,19,2562,7.42
,New Hampshire,33,2011,2011,25-29 years,25-29,14,3734,3.75
,New Hampshire,33,2011,2011,35-39 years,35-39,11,1725,6.38
,New Hampshire,33,2012,2012,20-24 years,20-24,12,2323,5.17
,New Hampshire,33,2012,2012,25-29 years,25-29,12,3681,3.26
,New Hampshire,33,2012,2012,30-34 years,30-34,16,3683,4.34
,New Hampshire,33,2013,2013,20-24 years,20-24,12,2246,5.34
,New Hampshire,33,2013,2013,25-29 years,25-29,17,3646,4.66
,New Hampshire,33,2013,2013,30-34 years,30-34,23,3817,6.03
,New Hampshire,33,2014,2014,20-24 years,20-24,14,2185,6.41
,New Hampshire,33,2014,2014,25-29 years,25-29,18,3685,4.88
,New Hampshire,33,2014,2014,30-34 years,30-34,13,3902,3.33
,New Jersey,34,2007,2007,15-19 years,15-19,50,7255,6.89
,New Jersey,34,2007,2007,20-24 years,20-24,163,19831,8.22
,New Jersey,34,2007,2007,25-29 years,25-29,136,29894,4.55
,New Jersey,34,2007,2007,30-34 years,30-34,125,34076,3.67
,New Jersey,34,2007,2007,35-39 years,35-39,90,20137,4.47
,New Jersey,34,2007,2007,40-44 years,40-44,23,4374,5.26
,New Jersey,34,2008,2008,15-19 years,15-19,79,7008,11.27
,New Jersey,34,2008,2008,20-24 years,20-24,130,19053,6.82
,New Jersey,34,2008,2008,25-29 years,25-29,131,29272,4.48
,New Jersey,34,2008,2008,30-34 years,30-34,152,33278,4.57
,New Jersey,34,2008,2008,35-39 years,35-39,99,19329,5.12
,New Jersey,34,2008,2008,40-44 years,40-44,22,4410,4.99
,New Jersey,34,2009,2009,15-19 years,15-19,51,6408,7.96
,New Jersey,34,2009,2009,20-24 years,20-24,126,18568,6.79
,New Jersey,34,2009,2009,25-29 years,25-29,140,28707,4.88
,New Jersey,34,2009,2009,30-34 years,30-34,145,33246,4.36
,New Jersey,34,2009,2009,35-39 years,35-39,85,18604,4.57
,New Jersey,34,2009,2009,40-44 years,40-44,26,4388,5.93
,New Jersey,34,2010,2010,15-19 years,15-19,48,5793,8.29
,New Jersey,34,2010,2010,20-24 years,20-24,105,17773,5.91
,New Jersey,34,2010,2010,25-29 years,25-29,127,27455,4.63
,New Jersey,34,2010,2010,30-34 years,30-34,140,32983,4.24
,New Jersey,34,2010,2010,35-39 years,35-39,73,18177,4.02
,New Jersey,34,2010,2010,40-44 years,40-44,18,4325,4.16
,New Jersey,34,2011,2011,15-19 years,15-19,36,5358,6.72
,New Jersey,34,2011,2011,20-24 years,20-24,117,17353,6.74
,New Jersey,34,2011,2011,25-29 years,25-29,113,27255,4.15
,New Jersey,34,2011,2011,30-34 years,30-34,152,33305,4.56
,New Jersey,34,2011,2011,35-39 years,35-39,90,17837,5.05
