Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,Arkansas,5,2010,2010,15-19 years,15-19,47,5229,8.99
,Arkansas,5,2010,2010,20-24 years,20-24,95,12259,7.75
,Arkansas,5,2010,2010,25-29 years,25-29,69,11090,6.22
,Arkansas,5,2010,2010,30-34 years,30-34,39,6778,5.75
,Arkansas,5,2010,2010,35-39 years,35-39,22,2602,8.46
,Arkansas,5,2011,2011,15-19 years,15-19,42,4845,8.67
,Arkansas,5,2011,2011,20-24 years,20-24,94,12214,7.7
,Arkansas,5,2011,2011,25-29 years,25-29,77,11338,6.79
,Arkansas,5,2011,2011,30-34 years,30-34,45,7105,6.33
,Arkansas,5,2011,2011,35-39 years,35-39,19,2595,7.32
,Arkansas,5,2012,2012,15-19 years,15-19,34,4349,7.82
,Arkansas,5,2012,2012,20-24 years,20-24,90,12136,7.42
,Arkansas,5,2012,2012,25-29 years,25-29,70,11104,6.3
,Arkansas,5,2012,2012,30-34 years,30-34,48,7386,6.5
,Arkansas,5,2012,2012,35-39 years,35-39,23,2776,8.29
,Arkansas,5,2013,2013,15-19 years,15-19,40,4155,9.63
,Arkansas,5,2013,2013,20-24 years,20-24,97,11817,8.21
,Arkansas,5,2013,2013,25-29 years,25-29,85,11089,7.67
,Arkansas,5,2013,2013,30-34 years,30-34,50,7324,6.83
,Arkansas,5,2013,2013,35-39 years,35-39,22,2818,7.81
,Arkansas,5,2014,2014,15-19 years,15-19,40,3782,10.58
,Arkansas,5,2014,2014,20-24 years,20-24,98,11862,8.26
,Arkansas,5,2014,2014,25-29 years,25-29,72,11378,6.33
,Arkansas,5,2014,2014,30-34 years,30-34,43,7882,5.46
,Arkansas,5,2014,2014,35-39 years,35-39,29,2951,9.83
,California,6,2007,2007,15-19 years,15-19,359,53417,6.72
,California,6,2007,2007,20-24 years,20-24,685,128059,5.35
,California,6,2007,2007,25-29 years,25-29,740,150629,4.91
,California,6,2007,2007,30-34 years,30-34,613,135432,4.53
,California,6,2007,2007,35-39 years,35-39,395,78489,5.03
,California,6,2007,2007,40-44 years,40-44,132,18281,7.22
,California,6,2007,2007,45-49 years,45-49,15,1324,11.33
,California,6,2008,2008,15-19 years,15-19,353,51733,6.82
,California,6,2008,2008,20-24 years,20-24,670,122343,5.48
,California,6,2008,2008,25-29 years,25-29,689,147161,4.68
,California,6,2008,2008,30-34 years,30-34,562,132678,4.24
,California,6,2008,2008,35-39 years,35-39,395,76988,5.13
,California,6,2008,2008,40-44 years,40-44,125,18658,6.7
,California,6,2008,2008,45-49 years,45-49,15,1451,10.34
,California,6,2009,2009,15-19 years,15-19,319,47831,6.67
,California,6,2009,2009,20-24 years,20-24,580,114005,5.09
,California,6,2009,2009,25-29 years,25-29,607,141070,4.3
,California,6,2009,2009,30-34 years,30-34,537,129165,4.16
,California,6,2009,2009,35-39 years,35-39,389,74507,5.22
,California,6,2009,2009,40-44 years,40-44,136,18314,7.43
,California,6,2009,2009,45-49 years,45-49,18,1423,12.65
,California,6,2010,2010,15-19 years,15-19,240,43149,5.56
,California,6,2010,2010,20-24 years,20-24,536,107704,4.98
,California,6,2010,2010,25-29 years,25-29,628,136936,4.59
,California,6,2010,2010,30-34 years,30-34,551,128958,4.27
,California,6,2010,2010,35-39 years,35-39,328,73013,4.49
,California,6,2010,2010,40-44 years,40-44,105,18523,5.67
,California,6,2010,2010,45-49 years,45-49,21,1357,15.48
,California,6,2011,2011,15-19 years,15-19,245,38303,6.4
,California,6,2011,2011,20-24 years,20-24,575,103009,5.58
,California,6,2011,2011,25-29 years,25-29,551,134322,4.1
,California,6,2011,2011,30-34 years,30-34,564,132435,4.26
,California,6,2011,2011,35-39 years,35-39,313,73024,4.29
,California,6,2011,2011,40-44 years,40-44,133,19056,6.98
,California,6,2011,2011,45-49 years,45-49,16,1392,11.49
,California,6,2012,2012,15-19 years,15-19,235,34890,6.74
,California,6,2012,2012,20-24 years,20-24,505,101061,5
,California,6,2012,2012,25-29 years,25-29,531,133812,3.97
,California,6,2012,2012,30-34 years,30-34,532,137182,3.88
,California,6,2012,2012,35-39 years,35-39,323,75457,4.28
,California,6,2012,2012,40-44 years,40-44,104,19342,5.38
,California,6,2012,2012,45-49 years,45-49,11,1490,7.38
,California,6,2013,2013,15-19 years,15-19,199,30505,6.52
,California,6,2013,2013,20-24 years,20-24,523,96741,5.41
,California,6,2013,2013,25-29 years,25-29,610,130234,4.68
,California,6,2013,2013,30-34 years,30-34,543,139207,3.9
,California,6,2013,2013,35-39 years,35-39,339,76715,4.42
,California,6,2013,2013,40-44 years,40-44,126,19284,6.53
,California,6,2014,2014,15-19 years,15-19,151,27025,5.59
,California,6,2014,2014,20-24 years,20-24,489,94479,5.18
,California,6,2014,2014,25-29 years,25-29,551,132634,4.15
,California,6,2014,2014,30-34 years,30-34,534,145837,3.66
,California,6,2014,2014,35-39 years,35-39,308,81301,3.79
,California,6,2014,2014,40-44 years,40-44,124,19650,6.31
,California,6,2014,2014,45-49 years,45-49,10,1519,6.58
,Colorado,8,2007,2007,15-19 years,15-19,70,6737,10.39
,Colorado,8,2007,2007,20-24 years,20-24,125,16342,7.65
,Colorado,8,2007,2007,25-29 years,25-29,98,19687,4.98
,Colorado,8,2007,2007,30-34 years,30-34,81,16748,4.84
,Colorado,8,2007,2007,35-39 years,35-39,45,9238,4.87
,Colorado,8,2007,2007,40-44 years,40-44,13,1822,7.14
,Colorado,8,2008,2008,15-19 years,15-19,68,6638,10.24
,Colorado,8,2008,2008,20-24 years,20-24,115,15966,7.2
,Colorado,8,2008,2008,25-29 years,25-29,109,19513,5.59
,Colorado,8,2008,2008,30-34 years,30-34,73,16939,4.31
,Colorado,8,2008,2008,35-39 years,35-39,57,8953,6.37
,Colorado,8,2008,2008,40-44 years,40-44,11,1824,6.03
,Colorado,8,2009,2009,15-19 years,15-19,74,6203,11.93
,Colorado,8,2009,2009,20-24 years,20-24,105,15270,6.88
,Colorado,8,2009,2009,25-29 years,25-29,110,19115,5.75
,Colorado,8,2009,2009,30-34 years,30-34,95,17035,5.58
,Colorado,8,2009,2009,35-39 years,35-39,33,8888,3.71
,Colorado,8,2010,2010,15-19 years,15-19,39,5474,7.12
,Colorado,8,2010,2010,20-24 years,20-24,111,14394,7.71
,Colorado,8,2010,2010,25-29 years,25-29,89,18592,4.79
,Colorado,8,2010,2010,30-34 years,30-34,85,17100,4.97
,Colorado,8,2010,2010,35-39 years,35-39,35,8673,4.04
,Colorado,8,2010,2010,40-44 years,40-44,25,1932,12.94
,Colorado,8,2011,2011,15-19 years,15-19,49,4734,10.35
,Colorado,8,2011,2011,20-24 years,20-24,101,13517,7.47
,Colorado,8,2011,2011,25-29 years,25-29,79,18313,4.31
,Colorado,8,2011,2011,30-34 years,30-34,75,17797,4.21
,Colorado,8,2011,2011,35-39 years,35-39,41,8510,4.82
,Colorado,8,2011,2011,40-44 years,40-44,12,1973,6.08
,Colorado,8,2012,2012,15-19 years,15-19,28,4154,6.74
,Colorado,8,2012,2012,20-24 years,20-24,76,13339,5.7
,Colorado,8,2012,2012,25-29 years,25-29,88,18585,4.74
,Colorado,8,2012,2012,30-34 years,30-34,70,18179,3.85
,Colorado,8,2012,2012,35-39 years,35-39,24,8809,2.72
,Colorado,8,2013,2013,15-19 years,15-19,33,3834,8.61
,Colorado,8,2013,2013,20-24 years,20-24,79,12905,6.12
,Colorado,8,2013,2013,25-29 years,25-29,84,18454,4.55
,Colorado,8,2013,2013,30-34 years,30-34,81,18660,4.34
,Colorado,8,2013,2013,35-39 years,35-39,40,9105,4.39
,Colorado,8,2013,2013,40-44 years,40-44,14,1900,7.37
,Colorado,8,2014,2014,15-19 years,15-19,26,3377,7.7
,Colorado,8,2014,2014,20-24 years,20-24,76,13118,5.79
,Colorado,8,2014,2014,25-29 years,25-29,81,18652,4.34
,Colorado,8,2014,2014,30-34 years,30-34,72,19160,3.76
,Colorado,8,2014,2014,35-39 years,35-39,45,9332,4.82
,Colorado,8,2014,2014,40-44 years,40-44,13,2021,6.43
,Connecticut,9,2007,2007,15-19 years,15-19,21,2837,7.4
,Connecticut,9,2007,2007,20-24 years,20-24,65,7244,8.97
,Connecticut,9,2007,2007,25-29 years,25-29,60,10505,5.71
,Connecticut,9,2007,2007,30-34 years,30-34,69,11694,5.9
,Connecticut,9,2007,2007,35-39 years,35-39,46,7585,6.06
,Connecticut,9,2007,2007,40-44 years,40-44,15,1636,9.17
,Connecticut,9,2008,2008,15-19 years,15-19,26,2789,9.32
,Connecticut,9,2008,2008,20-24 years,20-24,51,7124,7.16
,Connecticut,9,2008,2008,25-29 years,25-29,53,10293,5.15
,Connecticut,9,2008,2008,30-34 years,30-34,67,11444,5.85
,Connecticut,9,2008,2008,35-39 years,35-39,36,6987,5.15
,Connecticut,9,2009,2009,15-19 years,15-19,21,2605,8.06
,Connecticut,9,2009,2009,20-24 years,20-24,42,6837,6.14
,Connecticut,9,2009,2009,25-29 years,25-29,60,9892,6.07
,Connecticut,9,2009,2009,30-34 years,30-34,52,11189,4.65
,Connecticut,9,2009,2009,35-39 years,35-39,32,6548,4.89
,Connecticut,9,2009,2009,40-44 years,40-44,10,1653,6.05
,Connecticut,9,2010,2010,15-19 years,15-19,25,2274,10.99
,Connecticut,9,2010,2010,20-24 years,20-24,42,6455,6.51
,Connecticut,9,2010,2010,25-29 years,25-29,38,9517,3.99
,Connecticut,9,2010,2010,30-34 years,30-34,55,11405,4.82
,Connecticut,9,2010,2010,35-39 years,35-39,29,6338,4.58
,Connecticut,9,2011,2011,15-19 years,15-19,17,2020,8.42
,Connecticut,9,2011,2011,20-24 years,20-24,33,6356,5.19
,Connecticut,9,2011,2011,25-29 years,25-29,44,9747,4.51
,Connecticut,9,2011,2011,30-34 years,30-34,61,11552,5.28
,Connecticut,9,2011,2011,35-39 years,35-39,27,5938,4.55
,Connecticut,9,2012,2012,15-19 years,15-19,17,1889,9
,Connecticut,9,2012,2012,20-24 years,20-24,47,6101,7.7
,Connecticut,9,2012,2012,25-29 years,25-29,46,9488,4.85
,Connecticut,9,2012,2012,30-34 years,30-34,49,11506,4.26
,Connecticut,9,2012,2012,35-39 years,35-39,25,5948,4.2
,Connecticut,9,2013,2013,15-19 years,15-19,16,1606,9.96
,Connecticut,9,2013,2013,20-24 years,20-24,41,5934,6.91
,Connecticut,9,2013,2013,25-29 years,25-29,41,9343,4.39
,Connecticut,9,2013,2013,30-34 years,30-34,43,11687,3.68
,Connecticut,9,2013,2013,35-39 years,35-39,21,5940,3.54
,Connecticut,9,2014,2014,20-24 years,20-24,44,5541,7.94
,Connecticut,9,2014,2014,25-29 years,25-29,33,9581,3.44
,Connecticut,9,2014,2014,30-34 years,30-34,52,11985,4.34
,Connecticut,9,2014,2014,35-39 years,35-39,26,6204,4.19
,Delaware,10,2007,2007,15-19 years,15-19,14,1244,11.25
,Delaware,10,2007,2007,20-24 years,20-24,26,3119,8.34
,Delaware,10,2007,2007,25-29 years,25-29,23,3346,6.87
,Delaware,10,2007,2007,30-34 years,30-34,20,2778,7.2
,Delaware,10,2008,2008,15-19 years,15-19,11,1237,8.89
,Delaware,10,2008,2008,20-24 years,20-24,32,3011,10.63
,Delaware,10,2008,2008,25-29 years,25-29,30,3500,8.57
,Delaware,10,2008,2008,30-34 years,30-34,16,2647,6.04
,Delaware,10,2009,2009,15-19 years,15-19,11,1081,10.18
,Delaware,10,2009,2009,20-24 years,20-24,18,2867,6.28
,Delaware,10,2009,2009,25-29 years,25-29,27,3328,8.11
,Delaware,10,2009,2009,30-34 years,30-34,20,2674,7.48
,Delaware,10,2009,2009,35-39 years,35-39,12,1284,9.35
,Delaware,10,2010,2010,15-19 years,15-19,11,974,11.29
,Delaware,10,2010,2010,20-24 years,20-24,24,2725,8.81
,Delaware,10,2010,2010,25-29 years,25-29,23,3313,6.94
,Delaware,10,2010,2010,30-34 years,30-34,17,2742,6.2
,Delaware,10,2011,2011,20-24 years,20-24,26,2654,9.8
,Delaware,10,2011,2011,25-29 years,25-29,26,3300,7.88
,Delaware,10,2011,2011,30-34 years,30-34,25,2794,8.95
,Delaware,10,2012,2012,20-24 years,20-24,21,2548,8.24
,Delaware,10,2012,2012,25-29 years,25-29,25,3162,7.91
,Delaware,10,2012,2012,30-34 years,30-34,20,2953,6.77
,Delaware,10,2013,2013,20-24 years,20-24,20,2436,8.21
,Delaware,10,2013,2013,25-29 years,25-29,18,3148,5.72
,Delaware,10,2013,2013,30-34 years,30-34,14,2993,4.68
,Delaware,10,2013,2013,35-39 years,35-39,10,1222,8.18
,Delaware,10,2014,2014,20-24 years,20-24,14,2312,6.06
,Delaware,10,2014,2014,25-29 years,25-29,25,3304,7.57
,Delaware,10,2014,2014,30-34 years,30-34,18,3089,5.83
,District of Columbia,11,2007,2007,15-19 years,15-19,16,1053,15.19
,District of Columbia,11,2007,2007,20-24 years,20-24,37,1909,19.38
,District of Columbia,11,2007,2007,25-29 years,25-29,24,1965,12.21
,District of Columbia,11,2007,2007,30-34 years,30-34,20,2067,9.68
,District of Columbia,11,2007,2007,35-39 years,35-39,11,1495,7.36
,District of Columbia,11,2008,2008,15-19 years,15-19,13,1083,12
,District of Columbia,11,2008,2008,20-24 years,20-24,33,1911,17.27
,District of Columbia,11,2008,2008,25-29 years,25-29,21,2046,10.26
,District of Columbia,11,2008,2008,30-34 years,30-34,10,2222,4.5
,District of Columbia,11,2008,2008,35-39 years,35-39,18,1474,12.21
,District of Columbia,11,2009,2009,15-19 years,15-19,15,1034,14.51
,District of Columbia,11,2009,2009,20-24 years,20-24,22,1838,11.97
